Species ID,Common Name,Scientific Name,Family,Category,Status,Elevation Min,Elevation Max,Sensitivity
flora-84,"Buttercup (Ranunculus sp.)","Ranunculus specio-84","Plant Family","Herb",LC,1000,2432,low
flora-85,"Monkshood (Aconitum sp.)","Aconitum specio-85","Plant Family","Herb",LC,2335,3359,low
flora-86,"Windflower (Anemone sp.)","Anemone specio-86","Plant Family","Herb",LC,1549,2645,low
flora-87,"Knotweed (Polygonum sp.)","Polygonum specio-87","Plant Family","Herb",LC,1000,2348,low
flora-88,"Barberry (Berberis sp.)","Berberis specio-88","Plant Family","Shrub",LC,1232,2639,low
flora-89,"Rhododendron (Rhododendron sp.)","Rhododendron specio-89","Plant Family","Shrub/Tree",LC,2443,4276,low
flora-90,"Pine (Pinus sp.)","Pinus specio-90","Plant Family","Tree",LC,1000,3435,low
flora-91,"Fir (Abies sp.)","Abies specio-91","Plant Family","Tree",LC,1272,1996,low
flora-92,"Spruce (Picea sp.)","Picea specio-92","Plant Family","Tree",LC,1681,3033,low
flora-93,"Juniper (Juniperus sp.)","Juniperus specio-93","Plant Family","Tree/Shrub",LC,2306,3005,low
flora-94,"Wormwood/Sagebrush (Artemisia sp.)","Artemisia specio-94","Plant Family","Herb/Shrub",NT,1051,3165,low
flora-95,"Saw-wort (Saussurea sp.)","Saussurea specio-95","Plant Family","Alpine Herb",LC,1138,2065,low
flora-96,"Fescue Grass (Festuca sp.)","Festuca specio-96","Plant Family","Grass",LC,1193,2014,low
flora-97,"Bluegrass (Poa sp.)","Poa specio-97","Plant Family","Grass",LC,1279,3363,low
flora-98,"Feather Grass (Stipa sp.)","Stipa specio-98","Plant Family","Grass",LC,2368,4706,low
flora-99,"Cinquefoil (Potentilla sp.)","Potentilla specio-99","Plant Family","Herb",LC,1532,3743,low
flora-100,"Wild Rose (Rosa sp.)","Rosa specio-100","Plant Family","Shrub",LC,1351,3304,low
flora-101,"Bramble/Raspberry (Rubus sp.)","Rubus specio-101","Plant Family","Shrub/Climber",LC,1000,2695,low
flora-102,"Primrose (Primula sp.)","Primula specio-102","Plant Family","Alpine Herb",LC,1290,2354,low
flora-103,"Rock Jasmine (Androsace sp.)","Androsace specio-103","Plant Family","Alpine Herb",LC,2040,2921,low
flora-104,"Gentian (Gentiana sp.)","Gentiana specio-104","Plant Family","Alpine Herb",LC,1800,2737,low
flora-105,"Catmint (Nepeta sp.)","Nepeta specio-105","Plant Family","Herb",LC,1005,2819,low
flora-106,"Sage (Salvia sp.)","Salvia specio-106","Plant Family","Herb",NT,1469,3580,low
flora-107,"Milkvetch (Astragalus sp.)","Astragalus specio-107","Plant Family","Herb/Shrub",LC,1185,3025,low
flora-108,"Sedge (Carex sp.)","Carex specio-108","Plant Family","Sedge",NT,1000,3329,low
flora-109,"Bog Sedge (Kobresia sp.)","Kobresia specio-109","Plant Family","Sedge",VU,1254,3152,medium
flora-110,"Willow (Salix sp.)","Salix specio-110","Plant Family","Tree/Shrub",NT,1000,1854,low
flora-111,"Corydalis (Corydalis sp.)","Corydalis specio-111","Plant Family","Herb",LC,1874,3275,low
flora-112,"Lousewort (Pedicularis sp.)","Pedicularis specio-112","Plant Family","Herb",LC,1180,2848,low
flora-113,"Campion (Silene sp.)","Silene specio-113","Plant Family","Herb",LC,1472,2559,low
flora-114,"Willowherb (Epilobium sp.)","Epilobium specio-114","Plant Family","Herb",LC,1340,2967,low
flora-115,"Buttercup (Ranunculus sp.)","Ranunculus specio-115","Plant Family","Herb",CR,1000,2294,critical
flora-116,"Monkshood (Aconitum sp.)","Aconitum specio-116","Plant Family","Herb",LC,1751,2447,low
flora-117,"Windflower (Anemone sp.)","Anemone specio-117","Plant Family","Herb",LC,1834,2969,low
flora-118,"Knotweed (Polygonum sp.)","Polygonum specio-118","Plant Family","Herb",LC,1000,1895,low
flora-119,"Barberry (Berberis sp.)","Berberis specio-119","Plant Family","Shrub",LC,1287,1800,low
flora-120,"Rhododendron (Rhododendron sp.)","Rhododendron specio-120","Plant Family","Shrub/Tree",NT,1992,3949,low
flora-121,"Pine (Pinus sp.)","Pinus specio-121","Plant Family","Tree",LC,1000,1682,low
flora-122,"Fir (Abies sp.)","Abies specio-122","Plant Family","Tree",LC,1648,2356,low
flora-123,"Spruce (Picea sp.)","Picea specio-123","Plant Family","Tree",LC,1174,2364,low
flora-124,"Juniper (Juniperus sp.)","Juniperus specio-124","Plant Family","Tree/Shrub",LC,1856,2603,low
flora-125,"Wormwood/Sagebrush (Artemisia sp.)","Artemisia specio-125","Plant Family","Herb/Shrub",LC,1101,1759,low
flora-126,"Saw-wort (Saussurea sp.)","Saussurea specio-126","Plant Family","Alpine Herb",LC,1800,2758,low
flora-127,"Fescue Grass (Festuca sp.)","Festuca specio-127","Plant Family","Grass",LC,1416,2726,low
flora-128,"Bluegrass (Poa sp.)","Poa specio-128","Plant Family","Grass",LC,1367,2880,low
flora-129,"Feather Grass (Stipa sp.)","Stipa specio-129","Plant Family","Grass",LC,2033,3556,low
flora-130,"Cinquefoil (Potentilla sp.)","Potentilla specio-130","Plant Family","Herb",LC,1201,3042,low
flora-131,"Wild Rose (Rosa sp.)","Rosa specio-131","Plant Family","Shrub",LC,1233,2843,low
flora-132,"Bramble/Raspberry (Rubus sp.)","Rubus specio-132","Plant Family","Shrub/Climber",CR,1000,3466,critical
flora-133,"Primrose (Primula sp.)","Primula specio-133","Plant Family","Alpine Herb",LC,1115,3533,low
flora-134,"Rock Jasmine (Androsace sp.)","Androsace specio-134","Plant Family","Alpine Herb",NT,2179,3521,low
flora-135,"Gentian (Gentiana sp.)","Gentiana specio-135","Plant Family","Alpine Herb",NT,2484,3987,low
flora-136,"Catmint (Nepeta sp.)","Nepeta specio-136","Plant Family","Herb",LC,1274,2518,low
flora-137,"Sage (Salvia sp.)","Salvia specio-137","Plant Family","Herb",LC,1266,3750,low
flora-138,"Milkvetch (Astragalus sp.)","Astragalus specio-138","Plant Family","Herb/Shrub",LC,1212,3517,low
flora-139,"Sedge (Carex sp.)","Carex specio-139","Plant Family","Sedge",LC,1000,2734,low
flora-140,"Bog Sedge (Kobresia sp.)","Kobresia specio-140","Plant Family","Sedge",LC,2690,4126,low
flora-141,"Willow (Salix sp.)","Salix specio-141","Plant Family","Tree/Shrub",NT,1000,3215,low
flora-142,"Corydalis (Corydalis sp.)","Corydalis specio-142","Plant Family","Herb",CR,1866,4247,critical
flora-143,"Lousewort (Pedicularis sp.)","Pedicularis specio-143","Plant Family","Herb",LC,2169,2830,low
flora-144,"Campion (Silene sp.)","Silene specio-144","Plant Family","Herb",LC,1459,2098,low
flora-145,"Willowherb (Epilobium sp.)","Epilobium specio-145","Plant Family","Herb",LC,1433,3366,low
flora-146,"Buttercup (Ranunculus sp.)","Ranunculus specio-146","Plant Family","Herb",NT,1000,2232,low
flora-147,"Monkshood (Aconitum sp.)","Aconitum specio-147","Plant Family","Herb",LC,2362,4050,low
flora-148,"Windflower (Anemone sp.)","Anemone specio-148","Plant Family","Herb",NT,1421,3140,low
flora-149,"Knotweed (Polygonum sp.)","Polygonum specio-149","Plant Family","Herb",LC,1000,2057,low
flora-150,"Barberry (Berberis sp.)","Berberis specio-150","Plant Family","Shrub",LC,1333,2818,low
flora-151,"Rhododendron (Rhododendron sp.)","Rhododendron specio-151","Plant Family","Shrub/Tree",LC,1459,2492,low
flora-152,"Pine (Pinus sp.)","Pinus specio-152","Plant Family","Tree",LC,1000,2264,low
flora-153,"Fir (Abies sp.)","Abies specio-153","Plant Family","Tree",LC,1235,3665,low
flora-154,"Spruce (Picea sp.)","Picea specio-154","Plant Family","Tree",LC,1346,2488,low
flora-155,"Juniper (Juniperus sp.)","Juniperus specio-155","Plant Family","Tree/Shrub",LC,1887,3682,low
flora-156,"Wormwood/Sagebrush (Artemisia sp.)","Artemisia specio-156","Plant Family","Herb/Shrub",NT,1124,3564,low
flora-157,"Saw-wort (Saussurea sp.)","Saussurea specio-157","Plant Family","Alpine Herb",VU,3086,5337,medium
flora-158,"Fescue Grass (Festuca sp.)","Festuca specio-158","Plant Family","Grass",LC,1251,3511,low
flora-159,"Bluegrass (Poa sp.)","Poa specio-159","Plant Family","Grass",LC,1122,2954,low
flora-160,"Feather Grass (Stipa sp.)","Stipa specio-160","Plant Family","Grass",LC,2498,4232,low
flora-161,"Cinquefoil (Potentilla sp.)","Potentilla specio-161","Plant Family","Herb",LC,1560,3664,low
flora-162,"Wild Rose (Rosa sp.)","Rosa specio-162","Plant Family","Shrub",VU,1247,3149,medium
flora-163,"Bramble/Raspberry (Rubus sp.)","Rubus specio-163","Plant Family","Shrub/Climber",LC,1000,2229,low
flora-164,"Primrose (Primula sp.)","Primula specio-164","Plant Family","Alpine Herb",VU,2420,4131,medium
flora-165,"Rock Jasmine (Androsace sp.)","Androsace specio-165","Plant Family","Alpine Herb",EN,1038,1925,high
flora-166,"Gentian (Gentiana sp.)","Gentiana specio-166","Plant Family","Alpine Herb",LC,1581,4014,low
flora-167,"Catmint (Nepeta sp.)","Nepeta specio-167","Plant Family","Herb",LC,1477,2944,low
flora-168,"Sage (Salvia sp.)","Salvia specio-168","Plant Family","Herb",LC,1186,3357,low
flora-169,"Milkvetch (Astragalus sp.)","Astragalus specio-169","Plant Family","Herb/Shrub",LC,1287,3504,low
flora-170,"Sedge (Carex sp.)","Carex specio-170","Plant Family","Sedge",LC,1000,2110,low
flora-171,"Bog Sedge (Kobresia sp.)","Kobresia specio-171","Plant Family","Sedge",LC,2525,3983,low
flora-172,"Willow (Salix sp.)","Salix specio-172","Plant Family","Tree/Shrub",LC,1000,2628,low
flora-173,"Corydalis (Corydalis sp.)","Corydalis specio-173","Plant Family","Herb",VU,1774,2713,medium
flora-174,"Lousewort (Pedicularis sp.)","Pedicularis specio-174","Plant Family","Herb",LC,1046,1662,low
flora-175,"Campion (Silene sp.)","Silene specio-175","Plant Family","Herb",LC,1166,2836,low
flora-176,"Willowherb (Epilobium sp.)","Epilobium specio-176","Plant Family","Herb",LC,1463,2503,low
flora-177,"Buttercup (Ranunculus sp.)","Ranunculus specio-177","Plant Family","Herb",LC,1000,1776,low
flora-178,"Monkshood (Aconitum sp.)","Aconitum specio-178","Plant Family","Herb",LC,1927,2848,low
flora-179,"Windflower (Anemone sp.)","Anemone specio-179","Plant Family","Herb",LC,1133,2130,low
flora-180,"Knotweed (Polygonum sp.)","Polygonum specio-180","Plant Family","Herb",LC,1000,2198,low
flora-181,"Barberry (Berberis sp.)","Berberis specio-181","Plant Family","Shrub",LC,1440,3751,low
flora-182,"Rhododendron (Rhododendron sp.)","Rhododendron specio-182","Plant Family","Shrub/Tree",LC,1650,2605,low
flora-183,"Pine (Pinus sp.)","Pinus specio-183","Plant Family","Tree",LC,1000,2970,low
flora-184,"Fir (Abies sp.)","Abies specio-184","Plant Family","Tree",LC,1557,2436,low
flora-185,"Spruce (Picea sp.)","Picea specio-185","Plant Family","Tree",LC,1760,3100,low
flora-186,"Juniper (Juniperus sp.)","Juniperus specio-186","Plant Family","Tree/Shrub",LC,2344,3866,low
flora-187,"Wormwood/Sagebrush (Artemisia sp.)","Artemisia specio-187","Plant Family","Herb/Shrub",LC,1059,1639,low
flora-188,"Saw-wort (Saussurea sp.)","Saussurea specio-188","Plant Family","Alpine Herb",LC,1877,3443,low
flora-189,"Fescue Grass (Festuca sp.)","Festuca specio-189","Plant Family","Grass",LC,1239,2439,low
flora-190,"Bluegrass (Poa sp.)","Poa specio-190","Plant Family","Grass",VU,1133,2878,medium
flora-191,"Feather Grass (Stipa sp.)","Stipa specio-191","Plant Family","Grass",LC,2083,4180,low
flora-192,"Cinquefoil (Potentilla sp.)","Potentilla specio-192","Plant Family","Herb",LC,1652,2642,low
flora-193,"Wild Rose (Rosa sp.)","Rosa specio-193","Plant Family","Shrub",LC,1109,2195,low
flora-194,"Bramble/Raspberry (Rubus sp.)","Rubus specio-194","Plant Family","Shrub/Climber",LC,1000,1701,low
flora-195,"Primrose (Primula sp.)","Primula specio-195","Plant Family","Alpine Herb",LC,1405,2587,low
flora-196,"Rock Jasmine (Androsace sp.)","Androsace specio-196","Plant Family","Alpine Herb",NT,1357,3637,low
flora-197,"Gentian (Gentiana sp.)","Gentiana specio-197","Plant Family","Alpine Herb",LC,1863,3609,low
flora-198,"Catmint (Nepeta sp.)","Nepeta specio-198","Plant Family","Herb",LC,1184,3310,low
flora-199,"Sage (Salvia sp.)","Salvia specio-199","Plant Family","Herb",VU,1281,2616,medium
flora-200,"Milkvetch (Astragalus sp.)","Astragalus specio-200","Plant Family","Herb/Shrub",LC,1482,2442,low
flora-201,"Sedge (Carex sp.)","Carex specio-201","Plant Family","Sedge",LC,1000,3103,low
flora-202,"Bog Sedge (Kobresia sp.)","Kobresia specio-202","Plant Family","Sedge",LC,1853,2469,low
flora-203,"Willow (Salix sp.)","Salix specio-203","Plant Family","Tree/Shrub",LC,1000,2796,low
flora-204,"Corydalis (Corydalis sp.)","Corydalis specio-204","Plant Family","Herb",LC,1285,1955,low
flora-205,"Lousewort (Pedicularis sp.)","Pedicularis specio-205","Plant Family","Herb",VU,1580,3814,medium
flora-206,"Campion (Silene sp.)","Silene specio-206","Plant Family","Herb",EN,1202,1748,high
flora-207,"Willowherb (Epilobium sp.)","Epilobium specio-207","Plant Family","Herb",LC,1236,2728,low
flora-208,"Buttercup (Ranunculus sp.)","Ranunculus specio-208","Plant Family","Herb",LC,1000,3294,low
flora-209,"Monkshood (Aconitum sp.)","Aconitum specio-209","Plant Family","Herb",LC,1826,2705,low
flora-210,"Windflower (Anemone sp.)","Anemone specio-210","Plant Family","Herb",LC,1345,3148,low
flora-211,"Knotweed (Polygonum sp.)","Polygonum specio-211","Plant Family","Herb",LC,1000,2042,low
flora-212,"Barberry (Berberis sp.)","Berberis specio-212","Plant Family","Shrub",LC,1344,2733,low
flora-213,"Rhododendron (Rhododendron sp.)","Rhododendron specio-213","Plant Family","Shrub/Tree",VU,1773,3517,medium
flora-214,"Pine (Pinus sp.)","Pinus specio-214","Plant Family","Tree",LC,1000,2937,low
flora-215,"Fir (Abies sp.)","Abies specio-215","Plant Family","Tree",LC,1750,2546,low
flora-216,"Spruce (Picea sp.)","Picea specio-216","Plant Family","Tree",LC,1497,2361,low
flora-217,"Juniper (Juniperus sp.)","Juniperus specio-217","Plant Family","Tree/Shrub",VU,1801,3657,medium
flora-218,"Wormwood/Sagebrush (Artemisia sp.)","Artemisia specio-218","Plant Family","Herb/Shrub",LC,1108,1713,low
flora-219,"Saw-wort (Saussurea sp.)","Saussurea specio-219","Plant Family","Alpine Herb",LC,1859,4054,low
flora-220,"Fescue Grass (Festuca sp.)","Festuca specio-220","Plant Family","Grass",LC,1187,3220,low
flora-221,"Bluegrass (Poa sp.)","Poa specio-221","Plant Family","Grass",LC,1060,2789,low
flora-222,"Feather Grass (Stipa sp.)","Stipa specio-222","Plant Family","Grass",NT,1753,3951,low
flora-223,"Cinquefoil (Potentilla sp.)","Potentilla specio-223","Plant Family","Herb",LC,1598,3566,low
flora-224,"Wild Rose (Rosa sp.)","Rosa specio-224","Plant Family","Shrub",LC,1354,2374,low
flora-225,"Bramble/Raspberry (Rubus sp.)","Rubus specio-225","Plant Family","Shrub/Climber",CR,1000,1783,critical
flora-226,"Primrose (Primula sp.)","Primula specio-226","Plant Family","Alpine Herb",EN,1283,3138,high
flora-227,"Rock Jasmine (Androsace sp.)","Androsace specio-227","Plant Family","Alpine Herb",EN,2519,3311,high
flora-228,"Gentian (Gentiana sp.)","Gentiana specio-228","Plant Family","Alpine Herb",LC,2023,4333,low
flora-229,"Catmint (Nepeta sp.)","Nepeta specio-229","Plant Family","Herb",LC,1481,3505,low
flora-230,"Sage (Salvia sp.)","Salvia specio-230","Plant Family","Herb",LC,1109,2271,low
flora-231,"Milkvetch (Astragalus sp.)","Astragalus specio-231","Plant Family","Herb/Shrub",LC,1080,3360,low
flora-232,"Sedge (Carex sp.)","Carex specio-232","Plant Family","Sedge",LC,1000,2812,low
flora-233,"Bog Sedge (Kobresia sp.)","Kobresia specio-233","Plant Family","Sedge",NT,1391,1986,low
flora-234,"Willow (Salix sp.)","Salix specio-234","Plant Family","Tree/Shrub",LC,1000,2697,low
flora-235,"Corydalis (Corydalis sp.)","Corydalis specio-235","Plant Family","Herb",NT,1111,2214,low
flora-236,"Lousewort (Pedicularis sp.)","Pedicularis specio-236","Plant Family","Herb",LC,1962,4230,low
flora-237,"Campion (Silene sp.)","Silene specio-237","Plant Family","Herb",LC,1262,1863,low
flora-238,"Willowherb (Epilobium sp.)","Epilobium specio-238","Plant Family","Herb",LC,1121,1947,low
flora-239,"Buttercup (Ranunculus sp.)","Ranunculus specio-239","Plant Family","Herb",LC,1000,2184,low
flora-240,"Monkshood (Aconitum sp.)","Aconitum specio-240","Plant Family","Herb",LC,1154,3124,low
flora-241,"Windflower (Anemone sp.)","Anemone specio-241","Plant Family","Herb",LC,1973,3822,low
flora-242,"Knotweed (Polygonum sp.)","Polygonum specio-242","Plant Family","Herb",LC,1000,2196,low
flora-243,"Barberry (Berberis sp.)","Berberis specio-243","Plant Family","Shrub",LC,1177,2233,low
flora-244,"Rhododendron (Rhododendron sp.)","Rhododendron specio-244","Plant Family","Shrub/Tree",LC,1774,3928,low
flora-245,"Pine (Pinus sp.)","Pinus specio-245","Plant Family","Tree",LC,1000,2058,low
flora-246,"Fir (Abies sp.)","Abies specio-246","Plant Family","Tree",LC,1416,3504,low
flora-247,"Spruce (Picea sp.)","Picea specio-247","Plant Family","Tree",NT,1474,3638,low
flora-248,"Juniper (Juniperus sp.)","Juniperus specio-248","Plant Family","Tree/Shrub",CR,2203,4141,critical
flora-249,"Wormwood/Sagebrush (Artemisia sp.)","Artemisia specio-249","Plant Family","Herb/Shrub",CR,1129,2674,critical
flora-250,"Saw-wort (Saussurea sp.)","Saussurea specio-250","Plant Family","Alpine Herb",LC,3306,5232,low
flora-251,"Fescue Grass (Festuca sp.)","Festuca specio-251","Plant Family","Grass",LC,1153,2662,low
flora-252,"Bluegrass (Poa sp.)","Poa specio-252","Plant Family","Grass",LC,1283,2667,low
flora-253,"Feather Grass (Stipa sp.)","Stipa specio-253","Plant Family","Grass",NT,1873,2532,low
flora-254,"Cinquefoil (Potentilla sp.)","Potentilla specio-254","Plant Family","Herb",LC,1836,4134,low
flora-255,"Wild Rose (Rosa sp.)","Rosa specio-255","Plant Family","Shrub",LC,1084,3366,low
flora-256,"Bramble/Raspberry (Rubus sp.)","Rubus specio-256","Plant Family","Shrub/Climber",LC,1000,2066,low
flora-257,"Primrose (Primula sp.)","Primula specio-257","Plant Family","Alpine Herb",LC,1415,2993,low
flora-258,"Rock Jasmine (Androsace sp.)","Androsace specio-258","Plant Family","Alpine Herb",LC,1264,2723,low
